run,size,ratio,sampling_time_s,total_time_s
1,1000,33.691610747419126,11.843245800002478,12.285716400001547
2,1000,1.882705254782621,13.181377699998848,13.571337699999276
3,1000,1.5542666066503354,10.638919000004536,11.01085030000104
4,1000,1.4356137443534966,12.142428699997254,12.456271600000036
5,1000,1.5232710999816883,10.809317599996575,11.161028199996508
6,1000,1.2469242402489522,11.6597527000049,12.13277139999991
7,1000,1.4125323806464245,11.608827300005942,12.070338700003049
8,1000,13.961514233902005,11.764180499994836,12.362573300000804
9,1000,1.2073757106956882,10.96749799999816,11.3446483000007
10,1000,2.067158311462534,10.780120900002656,11.12346830000024
11,1000,13.405029095396625,14.815323299997544,15.168237099998803
12,1000,1.0945224257426305,13.934193699999014,14.200566199993771
13,1000,2.317016266412259,11.22542059999978,11.631396400000083
14,1000,1.565705896022757,11.1178390999994,11.45180189999519
15,1000,1.2004607990124043,12.862701600002763,13.22659460000432
16,1000,1.999721540959304,12.239693300005456,12.814006400003564
17,1000,1.2765219727838064,12.45969740000146,12.778580199999851
18,1000,5.941383844220747,11.627909800001362,12.19269930000155
19,1000,32.6352784392207,11.275717700002131,11.813558000001647
20,1000,2.4502985582047216,12.519490200000291,12.971537999997963
21,1000,1.4671189176856403,10.90127080000093,11.335712699998112
1,2000,1.151666517725784,12.814768299998832,13.227925499995765
2,2000,1.0796872963904005,12.759742800000822,13.247284299999592
3,2000,1.1434223390178109,12.732419799998752,13.208929599997646
4,2000,1.2674025323891298,12.173741899998276,12.5936292999977
5,2000,1.2727083978962048,11.770185900000795,12.239945100001933
6,2000,1.1266120511219575,11.45082209999964,11.89919149999332
7,2000,1.3335719385213611,11.908156199999212,12.360875099999248
8,2000,1.092302669501654,10.987177599999995,11.468337799997244
9,2000,1.099417463918511,12.786775799999305,13.323132999998052
10,2000,1.0794836002292614,12.773327700000664,13.25623369999812
11,2000,1.4507128434639822,10.868165399995632,11.29483220000111
12,2000,1.1114574436118785,11.178066899999976,11.497266799997304
13,2000,1.356452412094964,12.851125000001048,13.39164349999919
14,2000,1.2087105625831558,11.328684799998882,11.897493399999805
15,2000,1.2518057722873968,11.63349439999729,12.201518300003954
16,2000,1.159891640175353,10.864520800001628,11.29980069999874
17,2000,1.3704127131653074,12.783317099994749,13.1993147999965
18,2000,1.2570043173561525,11.47615080000105,11.983659099998476
19,2000,1.1659177996705374,12.97616410000046,13.491723799998
20,2000,1.1316593230474956,14.074884899993776,14.508461399993394
21,2000,2.0200883761834665,11.74485999999888,12.353436699995656
1,3000,1.0971609261857331,12.140514300001088,12.75185529999726
2,3000,1.103697974007787,11.87137100000109,12.468486400000984
3,3000,1.1446969384754246,11.284802099995431,11.858679299999494
4,3000,1.1931854094350245,11.37216289999924,12.019456599999105
5,3000,1.080302225084982,11.481406699997024,12.06435749999946
6,3000,1.4169472971614652,12.998507399999651,13.945729899998696
