run,size,ratio,sampling_time_s,total_time_s
1,500,2955.856905528994,50.64723530000083,51.728565600000366
2,500,513.8516065921657,51.29262630000085,51.67833070000052
3,500,473.6859351696563,51.87969440000052,52.61323430000084
4,500,408.3227730858737,52.31411090000074,52.69243220000135
5,500,15761.3923278242,50.85524269999951,51.97331639999902
6,500,4.952754014604975,49.78933970000071,50.82949800000097
7,500,2846.995088140544,50.86465269999826,51.511805499998445
8,500,4034.4164448586166,50.67977150000115,51.34244659999968
9,500,586.9981731119516,49.78650279999965,50.353174599998965
10,500,586.1826973724077,50.21836489999987,50.87488710000071
11,500,1088.101158081569,50.60768879999887,51.38261119999879
12,500,739.4338240191713,51.15854880000006,51.61008910000055
13,500,272512.42380144726,50.67444670000077,52.763338299999305
14,500,7.020977819983663,51.98759340000106,53.296697400000994
15,500,3191.170188015924,51.153085300000384,52.34319759999926
16,500,712.1112442881691,51.58473509999931,52.355143200000384
17,500,603.3360666746396,50.96546069999931,51.45408359999965
18,500,438.7367489247427,53.7225142999996,54.26152309999998
19,500,349.2128339772115,53.105764899999485,54.00582899999972
20,500,3577.749583398441,53.54455000000053,54.7209057
21,500,325.9794240369128,50.12637929999983,50.55025019999994
1,1000,1.7103408106463382,50.68865249999908,51.64984750000076
2,1000,1.6357347223774763,53.04177090000121,54.34888570000112
3,1000,1.5105878077010162,52.32689019999998,53.19078999999874
4,1000,1.8106780850719952,50.18855520000034,51.07189870000002
5,1000,1.780603324573041,51.25428060000013,52.27002159999938
6,1000,2.003952018722223,50.97884429999976,51.71507700000075
7,1000,1.665076996679228,51.110850400000345,51.97957779999888
8,1000,1.6734933315167708,52.05734709999888,53.06604770000013
9,1000,1.5142893963357638,52.85418659999959,53.82423530000051
10,1000,1.684536374734359,51.2724973000004,52.5199692999995
11,1000,1.7552171254032172,52.94768099999965,53.60552819999975
12,1000,1.5003856723321434,49.71916349999992,50.83925179999824
13,1000,1.768423632326476,49.80098420000104,50.48390370000016
14,1000,1.6231723350778906,50.47380470000098,51.33596900000157
15,1000,1.4337538822033835,51.428413999999975,52.35000260000015
16,1000,1.9591831250910563,50.85516980000102,51.84405810000135
17,1000,1.6381231396691558,50.96059340000102,51.99774770000113
18,1000,1.5869940556722164,51.70063559999835,52.95745129999887
19,1000,1.5701282152842122,52.20451019999928,53.398300499999095
20,1000,1.756847677996074,51.222693400000935,52.33886170000005
21,1000,1.4952473400181063,53.66923680000036,54.75995220000004
1,1500,1.250368400506574,54.18110440000055,55.01735630000076
2,1500,1.2725366397152904,53.12530850000076,54.04372479999984
3,1500,1.6288746613917795,51.23024020000048,52.77288849999968
4,1500,1.3087682220439418,52.8578751999994,54.17372280000018
5,1500,1.7045714956640008,53.15647760000138,54.40156569999999
6,1500,1.2539222537586407,53.61499899999944,54.7993551999989
7,1500,1.2948778133368493,52.548955000000205,54.01607920000061
8,1500,1.272123959675343,54.117984099999376,55.24806379999973
9,1500,1.2212995383628862,55.03925740000159,56.5390253000005
10,1500,1.2350213292589258,55.643043000000034,57.01933429999917
11,1500,1.284663138939835,52.988790000001245,54.238016600000265
12,1500,1.2765580841941897,54.567842099999325,55.70940769999834
13,1500,1.83327734952923,54.34595740000077,55.48519170000145
14,1500,1.3039137300482435,54.43810029999986,55.65797050000037
15,1500,1.266755985597371,54.51949659999991,55.83584229999906
16,1500,1.234230827559525,54.460899800000334,55.95419989999937
17,1500,1.6176080267602118,56.65527950000069,57.52705550000064
18,1500,1.2511486553479547,55.13422510000055,56.17018100000132
19,1500,1.3580497502266238,54.15462149999985,55.38342499999999
20,1500,1.2283525833013995,55.376710399999865,56.40378719999899
21,1500,1.2199536690761417,55.6504158000007,56.689011700000265
1,2000,1.17011322228246,56.16191090000029,57.34633510000094
2,2000,1.163767793949416,54.76146929999959,56.187344800000574
3,2000,1.1537438476013784,55.01573910000116,56.42427320000024
4,2000,1.1545149211810897,57.5191548999992,58.86729170000035
5,2000,1.284571775225125,57.33344410000064,58.435336200000165
6,2000,1.232946010620481,55.21001409999917,57.34355750000032
7,2000,1.1529157798349312,57.11146240000016,59.07121229999939
8,2000,1.2344819691758202,59.60172590000002,61.4684369000006
9,2000,1.24095842093009,60.72612079999999,62.54375400000026
10,2000,1.1557672823908367,62.32379000000037,64.09158019999995
